Currency,Date,Open,High,Low,Close,Volume,Market Cap
tezos,"Dec 04, 2019",1.29,1.32,1.25,1.25,46048752.00,824588509.00
tezos,"Dec 03, 2019",1.24,1.32,1.21,1.29,41462224.00,853213342.00
tezos,"Dec 02, 2019",1.25,1.26,1.20,1.24,27574097.00,817872179.00
tezos,"Dec 01, 2019",1.33,1.34,1.25,1.25,24127567.00,828296390.00
tezos,"Nov 30, 2019",1.31,1.37,1.31,1.33,28706667.00,879181680.00
tezos,"Nov 29, 2019",1.28,1.34,1.28,1.31,32270224.00,867085098.00
tezos,"Nov 28, 2019",1.26,1.35,1.22,1.28,44240281.00,845073679.00
tezos,"Nov 27, 2019",1.24,1.27,1.16,1.26,47723271.00,829672736.00
tezos,"Nov 26, 2019",1.24,1.28,1.23,1.24,54828808.00,822065277.00
tezos,"Nov 25, 2019",1.33,1.33,1.21,1.24,64954006.00,815688075.00
tezos,"Nov 24, 2019",1.40,1.42,1.31,1.34,49206070.00,887731654.00
tezos,"Nov 23, 2019",1.22,1.42,1.22,1.39,123832790.00,920735790.00
tezos,"Nov 22, 2019",1.21,1.28,1.08,1.22,69312275.00,804427044.00
tezos,"Nov 21, 2019",1.21,1.29,1.18,1.21,53020027.00,800257863.00
tezos,"Nov 20, 2019",1.22,1.25,1.17,1.21,33605071.00,801174969.00
tezos,"Nov 19, 2019",1.23,1.25,1.15,1.22,35796763.00,805231584.00
tezos,"Nov 18, 2019",1.16,1.26,1.16,1.23,37602915.00,813744878.00
tezos,"Nov 17, 2019",1.16,1.18,1.15,1.16,22483167.00,767707353.00
tezos,"Nov 16, 2019",1.17,1.18,1.16,1.16,26689028.00,768303560.00
tezos,"Nov 15, 2019",1.22,1.26,1.15,1.17,32203363.00,773992543.00
tezos,"Nov 14, 2019",1.13,1.30,1.11,1.22,41978349.00,808582829.00
tezos,"Nov 13, 2019",1.17,1.17,1.12,1.13,23410839.00,746750215.00
tezos,"Nov 12, 2019",1.18,1.20,1.15,1.17,23591140.00,771905281.00
tezos,"Nov 11, 2019",1.23,1.24,1.17,1.18,25012739.00,776358941.00
tezos,"Nov 10, 2019",1.25,1.25,1.19,1.23,31134799.00,812505004.00
tezos,"Nov 09, 2019",1.17,1.26,1.15,1.24,34760712.00,819630519.00
tezos,"Nov 08, 2019",1.22,1.28,1.12,1.17,44195683.00,770094896.00
tezos,"Nov 07, 2019",1.02,1.44,1.02,1.22,92805360.00,805246128.00
tezos,"Nov 06, 2019",0.93,1.05,0.90,1.02,26095931.00,673756212.00
tezos,"Nov 05, 2019",0.89,0.93,0.88,0.93,13420498.00,612256490.00
tezos,"Nov 04, 2019",0.87,0.91,0.86,0.89,16511023.00,588922638.00
tezos,"Nov 03, 2019",0.87,0.87,0.85,0.87,11444717.00,573784519.00
tezos,"Nov 02, 2019",0.88,0.89,0.86,0.87,9944483.00,571571532.00
tezos,"Nov 01, 2019",0.89,0.89,0.86,0.88,12684201.00,579768933.00
tezos,"Oct 31, 2019",0.91,0.92,0.87,0.89,13120625.00,588070905.00
tezos,"Oct 30, 2019",0.88,0.97,0.77,0.91,23084998.00,603633344.00
tezos,"Oct 29, 2019",0.87,0.92,0.83,0.88,19713852.00,580397277.00
tezos,"Oct 28, 2019",0.88,0.93,0.77,0.88,24337121.00,578034790.00
tezos,"Oct 27, 2019",0.84,0.89,0.69,0.88,23186370.00,577928349.00
tezos,"Oct 26, 2019",0.83,0.93,0.82,0.83,20293463.00,549426804.00
tezos,"Oct 25, 2019",0.77,0.84,0.76,0.83,16862309.00,551251771.00
tezos,"Oct 24, 2019",0.76,0.78,0.75,0.77,14425427.00,507327662.00
tezos,"Oct 23, 2019",0.84,0.84,0.76,0.76,14131553.00,502752829.00
tezos,"Oct 22, 2019",0.87,0.88,0.83,0.84,11567380.00,553772790.00
tezos,"Oct 21, 2019",0.88,0.89,0.87,0.87,11434852.00,575470528.00
tezos,"Oct 20, 2019",0.87,0.88,0.86,0.88,9297806.00,579437174.00
tezos,"Oct 19, 2019",0.88,0.89,0.86,0.87,10127092.00,571399102.00
bitcoin,"Dec 04, 2019",7320.13,7539.78,7170.92,7252.03,21664240918.00,131143073943.00
bitcoin,"Dec 03, 2019",7323.98,7418.86,7229.36,7320.15,14797485769.00,132359942301.00
bitcoin,"Dec 02, 2019",7424.04,7474.82,7233.40,7321.99,17082040706.00,132378982377.00
bitcoin,"Dec 01, 2019",7571.62,7571.62,7291.34,7424.29,18720708479.00,134215145410.00
bitcoin,"Nov 30, 2019",7764.06,7836.10,7515.85,7569.63,17158194786.00,136829391049.00
bitcoin,"Nov 29, 2019",7466.73,7781.18,7460.76,7761.24,19709695456.00,140280108521.00
bitcoin,"Nov 28, 2019",7536.82,7730.07,7454.12,7463.11,19050116751.00,134879411013.00
bitcoin,"Nov 27, 2019",7220.88,7619.69,6974.17,7531.66,23991412764.00,136102712894.00
bitcoin,"Nov 26, 2019",7145.16,7320.23,7098.57,7218.37,21129505542.00,130429018720.00
bitcoin,"Nov 25, 2019",7039.98,7319.86,6617.17,7146.13,42685231262.00,129112952930.00
bitcoin,"Nov 24, 2019",7398.63,7408.58,7029.29,7047.92,30433517289.00,127327398565.00
bitcoin,"Nov 23, 2019",7296.16,7442.26,7151.42,7397.80,21008924418.00,133636205957.00
bitcoin,"Nov 22, 2019",7643.57,7697.38,6936.71,7296.58,34242315785.00,131791783672.00
bitcoin,"Nov 21, 2019",8023.64,8110.10,7597.38,7642.75,22514243371.00,138031885379.00
bitcoin,"Nov 20, 2019",8203.61,8237.24,8010.51,8027.27,20764300437.00,144962727398.00
bitcoin,"Nov 19, 2019",8305.13,8408.52,8099.96,8206.15,21083613816.00,148178376843.00
bitcoin,"Nov 18, 2019",8573.98,8653.28,8273.57,8309.29,21579470673.00,150025712267.00
bitcoin,"Nov 17, 2019",8549.47,8727.79,8500.97,8577.98,18668638897.00,154861842425.00
bitcoin,"Nov 16, 2019",8491.17,8592.00,8473.97,8550.76,16495389808.00,154354054194.00
bitcoin,"Nov 15, 2019",8705.71,8730.87,8484.84,8491.99,21796856471.00,153277483626.00
bitcoin,"Nov 14, 2019",8811.94,8826.94,8692.55,8708.10,19084739975.00,157160974644.00
bitcoin,"Nov 13, 2019",8812.03,8836.84,8761.65,8808.26,17545755405.00,158949942842.00
bitcoin,"Nov 12, 2019",8759.75,8853.77,8685.43,8815.66,20309769107.00,159068712900.00
bitcoin,"Nov 11, 2019",9056.92,9081.28,8700.61,8757.79,20265510765.00,158009772437.00
bitcoin,"Nov 10, 2019",8812.49,9103.83,8806.16,9055.53,20587919881.00,163364406732.00
bitcoin,"Nov 09, 2019",8809.47,8891.82,8793.16,8813.58,17578630606.00,158981489715.00
bitcoin,"Nov 08, 2019",9265.37,9272.76,8775.53,8804.88,24333037836.00,158808570729.00
bitcoin,"Nov 07, 2019",9352.39,9368.48,9202.35,9267.56,22700383839.00,167138722904.00
bitcoin,"Nov 06, 2019",9340.86,9423.24,9305.91,9360.88,23133895765.00,168806151583.00
bitcoin,"Nov 05, 2019",9413.00,9457.42,9256.93,9342.53,26198609048.00,168459778835.00
bitcoin,"Nov 04, 2019",9235.61,9505.05,9191.49,9412.61,26170255634.00,169706332936.00
bitcoin,"Nov 03, 2019",9324.79,9379.81,9141.25,9235.35,21132220847.00,166495319475.00
bitcoin,"Nov 02, 2019",9259.78,9377.49,9249.59,9324.72,21242676385.00,168090392935.00
bitcoin,"Nov 01, 2019",9193.99,9275.66,9132.05,9261.10,24324691031.00,166928044164.00
bitcoin,"Oct 31, 2019",9202.46,9383.16,9028.72,9199.58,26583653947.00,165804227835.00
bitcoin,"Oct 30, 2019",9422.46,9426.87,9085.37,9205.73,27706531577.00,165899500650.00
bitcoin,"Oct 29, 2019",9248.44,9516.18,9232.65,9427.69,28426779937.00,169883866262.00
bitcoin,"Oct 28, 2019",9565.10,9805.12,9256.15,9256.15,30948255332.00,166777392742.00
bitcoin,"Oct 27, 2019",9241.71,9749.53,9112.54,9551.71,32593129501.00,172087039875.00
bitcoin,"Oct 26, 2019",8667.58,10021.74,8662.62,9244.97,44496255609.00,166547360782.00
bitcoin,"Oct 25, 2019",7490.70,8691.54,7479.98,8660.70,28705065488.00,156006603607.00
bnb,"Dec 04, 2019",15.35,15.69,15.01,15.28,237605471.00,2376597490.00
bnb,"Dec 03, 2019",15.19,15.55,15.05,15.31,219927266.00,2381198047.00
bnb,"Dec 02, 2019",15.51,15.71,15.15,15.19,200809249.00,2362891697.00
bnb,"Dec 01, 2019",15.74,15.74,15.05,15.50,203268417.00,2410249227.00
bnb,"Nov 30, 2019",16.26,16.37,15.54,15.72,213428131.00,2444407390.00
bnb,"Nov 29, 2019",15.68,16.34,15.65,16.27,250074235.00,2531096195.00
bnb,"Nov 28, 2019",16.10,16.23,15.65,15.68,194516396.00,2439314462.00
bnb,"Nov 27, 2019",15.49,16.20,14.94,16.10,255021618.00,2503874750.00
bnb,"Nov 26, 2019",15.27,15.86,15.23,15.53,205893351.00,2415058208.00
bnb,"Nov 25, 2019",15.29,15.74,14.20,15.27,242510343.00,2374635550.00
bnb,"Nov 24, 2019",16.40,16.49,15.28,15.28,232363837.00,2376408889.00
bnb,"Nov 23, 2019",15.58,16.47,15.15,16.42,255961052.00,2553835169.00
bnb,"Nov 22, 2019",16.84,17.27,14.69,15.58,341456274.00,2423526845.00
bnb,"Nov 21, 2019",18.16,18.19,16.62,16.84,228429806.00,2619271948.00
bnb,"Nov 20, 2019",18.71,18.93,17.85,18.17,210091849.00,2826455734.00
bnb,"Nov 19, 2019",19.31,19.63,18.38,18.70,206923366.00,2909049614.00
bnb,"Nov 18, 2019",20.34,20.43,18.94,19.32,224380017.00,3004482390.00
bnb,"Nov 17, 2019",20.28,20.62,20.03,20.26,224982344.00,3151297091.00
bnb,"Nov 16, 2019",20.32,20.63,20.09,20.28,211016746.00,3154697160.00
bnb,"Nov 15, 2019",21.24,21.29,20.18,20.32,225530775.00,3159918981.00
bnb,"Nov 14, 2019",21.28,21.51,20.97,21.26,237992230.00,3307441359.00
bnb,"Nov 13, 2019",20.87,21.64,20.71,21.25,252296146.00,3305222292.00
bnb,"Nov 12, 2019",20.14,20.86,20.09,20.86,227650068.00,3244098617.00
bnb,"Nov 11, 2019",20.48,20.64,19.92,20.13,209454454.00,3131442373.00
bnb,"Nov 10, 2019",19.73,20.63,19.73,20.48,239714468.00,3185665329.00
bnb,"Nov 09, 2019",19.68,19.98,19.60,19.74,176812608.00,3069586392.00
bnb,"Nov 08, 2019",20.69,20.69,19.47,19.69,184596047.00,3062638047.00
bnb,"Nov 07, 2019",20.81,20.96,20.25,20.65,222003636.00,3211356528.00
bnb,"Nov 06, 2019",20.72,20.92,20.28,20.82,241489968.00,3237951225.00
bnb,"Nov 05, 2019",20.74,20.92,20.45,20.72,263685442.00,3223447634.00
bnb,"Nov 04, 2019",20.23,20.92,20.18,20.74,296502530.00,3225517472.00
bnb,"Nov 03, 2019",20.27,20.43,19.89,20.21,257571666.00,3142781986.00
bnb,"Nov 02, 2019",20.02,20.40,19.86,20.27,273890078.00,3152261627.00
bnb,"Nov 01, 2019",19.99,20.06,19.78,20.02,198377285.00,3114078497.00
bnb,"Oct 31, 2019",20.10,20.40,19.54,20.00,250225840.00,3110770519.00
bnb,"Oct 30, 2019",20.49,20.58,19.23,20.09,250293832.00,3124258265.00
bnb,"Oct 29, 2019",19.81,20.92,19.70,20.48,317609149.00,3184941705.00
bnb,"Oct 28, 2019",19.34,20.90,19.31,19.76,337867337.00,3073144009.00
bnb,"Oct 27, 2019",18.89,19.59,18.57,19.35,292948855.00,3008958175.00
bnb,"Oct 26, 2019",18.63,19.78,18.18,18.89,292124012.00,2938042518.00
bitcoin-cash,"Dec 04, 2019",212.68,216.60,205.89,209.29,1441054845.00,3798514529.00
bitcoin-cash,"Dec 03, 2019",215.50,217.16,211.62,212.86,1072206668.00,3862794370.00
bitcoin-cash,"Dec 02, 2019",216.38,218.92,212.36,215.66,1164376888.00,3913199174.00
bitcoin-cash,"Dec 01, 2019",218.99,219.26,212.50,216.17,1260404762.00,3922144119.00
bitcoin-cash,"Nov 30, 2019",224.98,226.76,217.43,218.91,1309092627.00,3971434832.00
bitcoin-cash,"Nov 29, 2019",218.89,225.69,218.44,224.81,1475684082.00,4078066144.00
bitcoin-cash,"Nov 28, 2019",220.12,226.24,218.58,218.74,1391327826.00,3967553739.00
bitcoin-cash,"Nov 27, 2019",212.36,224.12,206.61,220.41,1963457159.00,3997547767.00
bitcoin-cash,"Nov 26, 2019",208.78,214.93,208.35,212.93,1808857014.00,3861504453.00
bitcoin-cash,"Nov 25, 2019",205.24,215.30,194.76,209.24,2401604928.00,3794036862.00
bitcoin-cash,"Nov 24, 2019",217.29,217.91,205.14,205.15,2128845957.00,3719555398.00
bitcoin-cash,"Nov 23, 2019",209.10,217.36,202.89,217.34,2407778555.00,3940197869.00
bitcoin-cash,"Nov 22, 2019",226.70,229.26,198.15,208.93,3382940612.00,3787329094.00
bitcoin-cash,"Nov 21, 2019",244.20,246.82,222.46,226.60,2401952813.00,4107271775.00
bitcoin-cash,"Nov 20, 2019",244.34,248.62,241.52,244.24,1805761006.00,4426589668.00
bitcoin-cash,"Nov 19, 2019",250.17,253.92,236.83,244.41,2131441345.00,4429141571.00
bitcoin-cash,"Nov 18, 2019",268.47,269.80,246.33,250.18,2115048013.00,4533460759.00
bitcoin-cash,"Nov 17, 2019",267.71,274.04,264.40,268.74,1565942482.00,4869324517.00
bitcoin-cash,"Nov 16, 2019",264.96,269.50,263.40,267.70,1481946683.00,4849880730.00
bitcoin-cash,"Nov 15, 2019",280.07,280.27,264.04,264.71,1918658721.00,4795268314.00
bitcoin-cash,"Nov 14, 2019",286.24,287.01,277.44,279.56,1835340820.00,5063764909.00
bitcoin-cash,"Nov 13, 2019",289.04,289.66,284.09,286.49,1555824951.00,5188837230.00
bitcoin-cash,"Nov 12, 2019",287.18,291.64,284.55,289.24,1840497856.00,5238065361.00
bitcoin-cash,"Nov 11, 2019",293.57,297.01,284.39,287.16,1873466817.00,5199842645.00
bitcoin-cash,"Nov 10, 2019",282.73,296.04,281.32,293.48,2125907737.00,5313685658.00
bitcoin-cash,"Nov 09, 2019",277.90,284.10,277.88,282.74,1689515654.00,5118863818.00
bitcoin-cash,"Nov 08, 2019",293.83,294.61,274.30,277.98,2226108792.00,5032069448.00
bitcoin-cash,"Nov 07, 2019",306.29,306.67,289.45,293.50,2183103768.00,5312581525.00
bitcoin-cash,"Nov 06, 2019",293.46,307.36,292.64,306.23,2418826077.00,5542406467.00
bitcoin-cash,"Nov 05, 2019",291.78,295.80,287.93,293.71,2269171137.00,5315239099.00
bitcoin-cash,"Nov 04, 2019",292.80,293.98,286.84,291.85,2478124574.00,5281034076.00
bitcoin-cash,"Nov 03, 2019",290.73,303.13,283.73,292.71,2598715593.00,5296136970.00
bitcoin-cash,"Nov 02, 2019",279.22,295.23,278.98,290.72,2353771063.00,5259529632.00
bitcoin-cash,"Nov 01, 2019",284.49,284.49,274.11,279.14,2375427805.00,5049556631.00
bitcoin-cash,"Oct 31, 2019",290.40,296.56,274.43,284.48,2933178100.00,5145642139.00
bitcoin-cash,"Oct 30, 2019",289.19,303.61,285.74,290.63,3583344209.00,5256428279.00
bitcoin-cash,"Oct 29, 2019",265.38,295.47,264.28,288.96,4123613696.00,5225681741.00
bitcoin-cash,"Oct 28, 2019",261.15,274.81,260.11,265.41,3107818242.00,4799371733.00
bitcoin-cash,"Oct 27, 2019",252.56,265.96,246.34,261.25,3228198618.00,4723673729.00
bitcoin-cash,"Oct 26, 2019",259.53,277.12,244.46,252.51,3875753112.00,4565115347.00
bitcoin-cash,"Oct 25, 2019",214.21,265.03,213.81,259.17,3309084358.00,4685079701.00
cardano,"Dec 04, 2019",0.04,0.04,0.04,0.04,51692274.00,969802335.00
cardano,"Dec 03, 2019",0.04,0.04,0.04,0.04,34356883.00,983080974.00
cardano,"Dec 02, 2019",0.04,0.04,0.04,0.04,43069274.00,986684920.00
cardano,"Dec 01, 2019",0.04,0.04,0.04,0.04,59641355.00,1026365437.00
cardano,"Nov 30, 2019",0.04,0.04,0.04,0.04,64184926.00,1048107282.00
cardano,"Nov 29, 2019",0.04,0.04,0.04,0.04,99506198.00,1073986624.00
cardano,"Nov 28, 2019",0.04,0.04,0.04,0.04,60743403.00,1016079672.00
cardano,"Nov 27, 2019",0.04,0.04,0.04,0.04,76841561.00,1012420887.00
cardano,"Nov 26, 2019",0.04,0.04,0.04,0.04,57431470.00,959117573.00
cardano,"Nov 25, 2019",0.04,0.04,0.03,0.04,96694224.00,934626616.00
cardano,"Nov 24, 2019",0.04,0.04,0.04,0.04,62998664.00,922680695.00
cardano,"Nov 23, 2019",0.04,0.04,0.04,0.04,58979321.00,994122170.00
cardano,"Nov 22, 2019",0.04,0.04,0.03,0.04,93310136.00,963130806.00
cardano,"Nov 21, 2019",0.04,0.04,0.04,0.04,67101708.00,995755250.00
cardano,"Nov 20, 2019",0.04,0.04,0.04,0.04,69854304.00,1067634701.00
cardano,"Nov 19, 2019",0.04,0.04,0.04,0.04,91311583.00,1102995485.00
cardano,"Nov 18, 2019",0.05,0.05,0.04,0.04,106595679.00,1135647864.00
cardano,"Nov 17, 2019",0.04,0.05,0.04,0.05,74834540.00,1177627885.00
cardano,"Nov 16, 2019",0.04,0.04,0.04,0.04,61781146.00,1145239519.00
cardano,"Nov 15, 2019",0.04,0.04,0.04,0.04,81592975.00,1140128777.00
cardano,"Nov 14, 2019",0.04,0.04,0.04,0.04,53295194.00,1117958882.00
cardano,"Nov 13, 2019",0.04,0.04,0.04,0.04,42332678.00,1127632602.00
cardano,"Nov 12, 2019",0.04,0.04,0.04,0.04,79520150.00,1134751210.00
cardano,"Nov 11, 2019",0.04,0.04,0.04,0.04,57846910.00,1119896696.00
cardano,"Nov 10, 2019",0.04,0.04,0.04,0.04,71691725.00,1139696016.00
cardano,"Nov 09, 2019",0.04,0.04,0.04,0.04,41365742.00,1100480940.00
cardano,"Nov 08, 2019",0.04,0.04,0.04,0.04,70275428.00,1096640030.00
cardano,"Nov 07, 2019",0.04,0.05,0.04,0.04,63525683.00,1131378703.00
cardano,"Nov 06, 2019",0.04,0.05,0.04,0.04,71743244.00,1165576446.00
cardano,"Nov 05, 2019",0.04,0.04,0.04,0.04,82868890.00,1149307855.00
cardano,"Nov 04, 2019",0.04,0.04,0.04,0.04,62120503.00,1120989389.00
cardano,"Nov 03, 2019",0.04,0.04,0.04,0.04,38559537.00,1087128848.00
cardano,"Nov 02, 2019",0.04,0.04,0.04,0.04,47127524.00,1104469763.00
cardano,"Nov 01, 2019",0.04,0.04,0.04,0.04,60880837.00,1097888791.00
cardano,"Oct 31, 2019",0.04,0.04,0.04,0.04,65333067.00,1079489291.00
cardano,"Oct 30, 2019",0.04,0.04,0.04,0.04,87541890.00,1088083802.00
cardano,"Oct 29, 2019",0.04,0.04,0.04,0.04,83357024.00,1126380670.00
cardano,"Oct 28, 2019",0.04,0.04,0.04,0.04,101906301.00,1098341833.00
cardano,"Oct 27, 2019",0.04,0.04,0.04,0.04,122643093.00,1097616330.00
cardano,"Oct 26, 2019",0.04,0.04,0.04,0.04,122861125.00,1051275058.00
cardano,"Oct 25, 2019",0.04,0.04,0.04,0.04,80455621.00,1069400506.00
cardano,"Oct 24, 2019",0.04,0.04,0.04,0.04,49800738.00,977063811.00
eos,"Dec 04, 2019",2.70,2.74,2.60,2.65,1991656646.00,2497719668.00
eos,"Dec 03, 2019",2.69,2.74,2.65,2.70,1391933885.00,2549066942.00
eos,"Dec 02, 2019",2.78,2.80,2.66,2.69,1641895350.00,2531453856.00
eos,"Dec 01, 2019",2.76,2.84,2.68,2.78,1792147034.00,2618290742.00
eos,"Nov 30, 2019",2.80,2.83,2.74,2.76,1537950803.00,2598670742.00
eos,"Nov 29, 2019",2.64,2.80,2.64,2.80,1899935358.00,2636173142.00
eos,"Nov 28, 2019",2.69,2.76,2.62,2.64,1514999632.00,2483560320.00
eos,"Nov 27, 2019",2.63,2.73,2.53,2.69,2247567344.00,2532133843.00
eos,"Nov 26, 2019",2.53,2.65,2.53,2.63,1894353525.00,2479535254.00
eos,"Nov 25, 2019",2.45,2.60,2.37,2.54,3240749705.00,2387930189.00
eos,"Nov 24, 2019",2.72,2.73,2.45,2.45,2906089979.00,2307205605.00
eos,"Nov 23, 2019",2.63,2.73,2.59,2.72,2021876981.00,2564872526.00
eos,"Nov 22, 2019",2.83,2.85,2.51,2.63,3602118620.00,2477842442.00
eos,"Nov 21, 2019",3.10,3.12,2.79,2.83,2542236471.00,2659185420.00
eos,"Nov 20, 2019",3.15,3.18,3.09,3.10,1963218325.00,2914257086.00
eos,"Nov 19, 2019",3.23,3.27,3.07,3.15,2304230672.00,2965681898.00
eos,"Nov 18, 2019",3.42,3.46,3.15,3.23,2272078620.00,3035722432.00
eos,"Nov 17, 2019",3.41,3.47,3.37,3.42,1573105687.00,3218347132.00
eos,"Nov 16, 2019",3.34,3.41,3.33,3.41,1466435139.00,3203173411.00
eos,"Nov 15, 2019",3.42,3.48,3.33,3.34,2058586140.00,3145080225.00
eos,"Nov 14, 2019",3.48,3.49,3.39,3.42,1728331755.00,3215424716.00
eos,"Nov 13, 2019",3.48,3.50,3.45,3.48,1828134783.00,3271483468.00
eos,"Nov 12, 2019",3.45,3.53,3.43,3.48,2404898305.00,3273174725.00
eos,"Nov 11, 2019",3.59,3.60,3.44,3.45,2044553191.00,3240138787.00
eos,"Nov 10, 2019",3.49,3.61,3.48,3.58,2399902626.00,3368114310.00
eos,"Nov 09, 2019",3.42,3.50,3.42,3.49,1937769184.00,3277616855.00
eos,"Nov 08, 2019",3.50,3.55,3.39,3.42,2561508538.00,3213675374.00
eos,"Nov 07, 2019",3.62,3.63,3.46,3.50,2352629788.00,3283847627.00
eos,"Nov 06, 2019",3.62,3.67,3.57,3.62,2422013167.00,3402662724.00
eos,"Nov 05, 2019",3.45,3.66,3.41,3.62,3098696039.00,3398966741.00
